Przychody_ogolem;Aktywa_ogolem;Zobowiazania_ogolem;Zysk_netto;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;W14;W15;Grupujaca
1,87;0,53;0,45;0,02;3,17;19,98;1,07;3,77;62,82;9,92;103,45;46,84;0,92;0,2;0,05;-0,08;43,03;100;15,09;UpadloϾ
0,5;0,38;0,1;0,01;3,04;4,15;2;2,63;41,94;83,89;277,4;14,6;2,84;2,18;0,78;0,39;8,36;85,8;73,68;UpadloϾ
12,66;2,79;2,78;0,08;2,84;4099,68;0,63;3,94;15,28;7,28;80,44;3,17;0,33;0,14;0,03;-0,66;3,85;99,95;0;UpadloϾ
3,42;1,48;1,41;0,04;2,68;62,16;1,17;3,38;54,41;52,08;157,95;9,61;0,84;0,48;0,06;-0,14;6,26;100;4,05;UpadloϾ
3,99;2,15;1,9;0,06;2,65;22,35;1,5;2,79;0;41,93;196,68;45,74;1,1;1,1;0,01;0,09;21,84;91,22;11,63;UpadloϾ
0,83;3,22;1,21;0,08;2,34;3,74;9,64;2,48;3,12;45,31;1416,02;0;8,92;8,89;0,15;0,64;12,98;20,69;62,73;UpadloϾ
14,34;9,29;6,34;0,2;2,12;6,7;1,39;3,01;119,81;68,46;236,46;26,73;1,41;0,57;0,07;0,25;17,1;88,03;31,65;UpadloϾ
22,34;9,47;8,22;0,2;2,04;15,4;0,9;2,96;3,85;36,67;154,72;28,27;0,73;0,68;0,04;-0,15;45,66;59,91;13,2;UpadloϾ
6,78;5,41;3,47;0,11;1,98;5,51;1,62;2,03;218,17;54,03;291,25;0;1,54;0,37;0,01;0,35;0;100;35,86;UpadloϾ
1,01;15,83;9,77;0,25;1,73;4,52;24,75;1,58;28,03;841,52;5720,74;0;0,41;0,4;0;-0,24;0;70,8;38,28;UpadloϾ
2,41;6,81;6,69;0,12;1,71;100;4,98;2,2;0,41;0;1031,39;0;1,01;1,01;0;0,01;0;100;1,76;UpadloϾ
31,11;24,94;23,66;0,41;1,66;32,37;1,32;0,2;61,57;43,57;292,61;29,21;0,61;0,3;0;-0,27;17;72,99;5,13;UpadloϾ
3,91;2,7;2,52;0,04;1,51;23,19;1,02;2,22;66,06;74,43;252,05;3,73;1,52;0,83;0;0,21;1,31;40,96;6,67;UpadloϾ
1,26;0,52;0,49;0,01;1,49;28,13;0,79;1,92;62,63;62,3;150,63;26,07;0,89;0,45;0;-0,1;19,6;99,94;5,77;UpadloϾ
58,42;28,93;25,04;0,4;1,38;10,23;0,68;1,94;1,59;141,71;180,75;32,74;1,08;1,07;0;0,07;19,61;97,92;13,45;UpadloϾ
4,62;2,88;2,19;0,03;1,24;5,21;0,65;1,04;27,96;103,46;227,53;0,79;1,05;0,89;0,04;0,03;0,38;100;23,61;UpadloϾ
50,44;4,96;5,58;0,05;1,16;-9,17;0,1;1,21;0;0;35,89;17,58;0,77;0,77;0;-0,24;53,15;100;-12,7;UpadloϾ
1,74;1,02;2,72;0,01;1,15;-0,69;0,57;0,98;49,32;108,37;213,97;262,21;0,37;0,28;0;-1,56;132,96;100;-166,67;UpadloϾ
0,3;12,17;15,04;0,13;1,12;-4,77;43,33;1,07;3549,2;393,86;14806,83;0;2,9;0,52;0;0,18;60,29;8,16;-23,58;UpadloϾ
1,08;1,88;0,94;0,02;1,11;2,21;1,85;1,06;83,36;449,72;635,37;114,91;2,21;1,87;0;0,49;27,93;77,83;50,53;UpadloϾ
4,77;4,16;3,13;0,05;1,05;4,24;1,05;1,68;170,53;79,68;318,32;72,69;1,14;0,43;0,06;0,12;21,51;100;24,76;UpadloϾ
0,14;0,13;0,05;0;0,96;1,6;0;0;228,84;4,34;338,93;130,36;2,21;0,53;0,49;0,54;35,69;100;61,54;UpadloϾ
1,02;0,75;0,43;0,01;0,93;2,22;0,98;1,33;12,13;49,46;268,38;60,83;0,6;0,52;0,01;-0,24;21,63;100;41,33;UpadloϾ
1,48;1,29;1,07;0,01;0,93;5,48;0,68;0,78;49,63;33,37;318,14;81,39;1,45;1,22;0,24;0,32;40,55;79,91;17,05;UpadloϾ
3,89;1,56;1,42;0,02;0,92;10,95;0,51;1,28;11,74;40,14;146,38;19,7;0,91;0,77;0,01;-0,06;44,68;64,84;8,33;UpadloϾ
99,62;21,44;19,71;0,2;0,92;11,48;0,2;0,93;0;77,75;78,55;0;1,09;1,09;0;0,08;0;100;8,02;UpadloϾ
2,93;0,74;0,75;0,01;0,89;-65,71;0,34;1,35;0;76,1;92,18;32,39;0,98;0,98;0,02;-0,01;37,89;100;-1,35;UpadloϾ
46,46;21,84;25,8;0,15;0,77;-4,23;0,32;0,78;32,94;88,31;171,58;57,59;0,82;0,66;0;-0,2;36,41;100;-18,13;UpadloϾ
0,47;0,26;0,11;0;0,77;1,37;0;0;0;185,14;201,91;31,06;2,26;2,26;0;0,58;15,08;100;57,69;UpadloϾ
0,62;0,36;0,31;0;0,73;5,98;0;0;68,9;121,1;211,94;29,44;1,38;0,91;0,06;0,28;28,5;78,71;11,11;UpadloϾ
0,27;12,74;12,5;0,07;0,58;31,38;25,93;0,55;16668,03;74,06;17222,59;14600;1,08;0,03;0;0,07;84,81;94,28;1,81;UpadloϾ
4,87;1,09;1,09;0,01;0,55;399,13;0,21;0,92;19,03;17,41;81,69;31,48;0,52;0,26;0,01;-0,45;46,22;92,18;0;UpadloϾ
22,05;7,34;5,56;0,04;0,51;2,11;0,18;0,68;78,09;33,55;121,5;14,4;1,56;0,52;0,01;0,37;25,06;81,66;24,25;UpadloϾ
34,51;22,21;16,49;0;0,49;1,92;0;0,05;63,66;23,09;234,91;91,28;0,66;0,2;0;-0,2;54,84;78,46;25,75;UpadloϾ
4,65;6,07;5,13;0,02;0,4;2,59;0,43;0,33;41,31;59,99;476,46;0;0,93;0,74;0,11;-0,03;39,58;53,17;15,49;UpadloϾ
6,44;2,89;2,4;0,01;0,37;2,19;0,16;1,38;27,37;72,95;163,8;11,9;1,1;0,81;0,01;0,06;7,36;68,64;16,96;UpadloϾ
0,04;1,55;1,54;0;0,26;94,44;0;0;7098,75;574,24;14143,75;0;1,48;0,17;0;0,19;0;38,32;0;UpadloϾ
1,84;2,51;1,82;0;0,21;0,75;0;0;131;0;497,91;41,66;0,67;0,12;0,07;-0,15;9,24;66,83;27,49;UpadloϾ
599,44;104,45;80,43;0,2;0,19;0,83;0,03;0,61;3,6;12,25;63,6;25,32;0,8;0,72;0,01;-0,16;39,82;98,84;23;UpadloϾ
0,01;3,02;2,68;0,01;0,18;1,6;100;0,33;45899,77;17206,9;110230;21535;1,65;0,66;0,02;0,25;67,89;47,55;11,26;UpadloϾ
0,23;1,53;0,39;0;0,12;0,16;0;0;239,41;28,17;2428,04;0;2,87;0,63;0,33;0,08;21,01;17,34;74,51;UpadloϾ
0,65;0,64;0,61;0;0,11;2,91;0;0;0;203,2;359,38;5,62;1,01;1,01;0,06;0,02;3,45;98,01;3,13;UpadloϾ
1,16;0,58;0,5;0;0,1;0,72;0;0;78,18;88,64;182,5;47,2;1,16;0,66;0,03;0,12;27,2;100;13,79;UpadloϾ
15,07;4,87;3,53;0;0,08;0,31;0;1,03;49,08;20,9;117,95;0;1,35;0,78;0,34;0,25;0;100;27,52;UpadloϾ
14,74;11,84;6,38;0,01;0,06;0,14;0,07;0,08;123,29;75,64;293,19;44,08;1,31;0,51;0,01;0,16;16,08;98,07;46,2;UpadloϾ
8,24;40,33;40,12;0,01;0,03;5,85;0,12;0,05;0;8,04;1786,46;0;3,32;3,32;0,22;0,02;24,34;0,77;0,52;UpadloϾ
1,56;10,87;13,72;0;0,02;-0,06;0;0,83;6,87;799,61;2543,3;0;0,54;0,54;0;-0,45;0;84,41;-26,22;UpadloϾ
13,78;21,11;20,94;0;0,02;2,03;0;0,05;46,19;421,1;559,15;48,21;2,17;1,96;0;0,42;14,12;39,35;0,81;UpadloϾ
2,09;1,11;1,02;0;0,02;0,31;0;0;115,48;28,3;193,85;90,81;0,91;0,27;0,08;-0,08;45,43;100;7,21;UpadloϾ
12,54;37,49;36,65;-6,64;0;0;-52,95;-17,71;59,58;52,05;1091,22;41,91;0,75;0,64;0;-0,13;35,64;50,84;2,24;UpadloϾ
9,87;3,25;3,19;0,16;0;0;1,62;4,92;19,03;93,35;120,19;1,11;1;0,84;0;0;0,88;96,87;1,85;UpadloϾ
4,98;0,12;0,92;-8,24;0;0;-165,46;-6866,67;0;1,72;8,8;12,46;0,14;0,14;0;-5,75;245,17;86,68;-666,67;UpadloϾ
2,96;0,4;1,18;-0,84;0;0;-28,38;-210;0;7,27;49,32;0;0,34;0,34;0,09;-1,95;0;100;-195;UpadloϾ
2,9;3,9;3,81;-3,14;0;0;-108,28;-80,51;183,58;22,87;490,86;0;0,79;0,22;0;-0,14;10,25;67,2;2,31;UpadloϾ
1,76;1,64;0,96;-0,07;0;0;-3,98;-3,66;65,95;17,92;340,11;2,07;1,5;0,92;0,66;0,17;25,43;57,47;41,46;UpadloϾ
1,04;0,15;4,56;-0,33;0;0;-31,73;-220;0;30,47;52,64;866,88;0,03;0,03;0,01;-29,47;1692,74;100;-2940;UpadloϾ
0,69;0,98;0,9;-0,08;0;0;-11,59;-8,16;15,09;52,05;518,41;0;1,11;1;0,53;0,03;66,01;28,15;8,16;UpadloϾ
0,44;0,1;0,52;-0,52;0;0;-118,18;-520;0;0;82,95;207,39;0,2;0,2;0,15;-4,2;244,69;100;-420;UpadloϾ
0,03;1,01;0,65;0;0;0;0;0;0;0;12288,33;0;1,24;1,24;0;0,16;0;100;34,65;UpadloϾ
2,53;1,05;0,77;-0,02;0;0;-0,79;0;5,82;63,17;151,48;11,54;1,06;1,01;0,03;0,05;7,22;99,55;26,67;UpadloϾ
1,11;0,1;0,09;-0,01;0;0;-0,9;-10;9,25;11,01;32,88;6,58;1,6;1,14;0,23;0,4;41,99;69,6;10;UpadloϾ
0,09;0,06;0,11;-0,01;0;0;-11,11;-16,67;186,88;56,45;243,33;40,56;0,57;0,13;0;-0,83;22,86;100;-83,33;UpadloϾ
0,05;0,11;0,01;-0,31;0;0;-620;-281,82;0;29,47;803;0;16,36;16,36;13,96;1;0;100;90,91;UpadloϾ
1,41;0,75;0,68;0;-0,19;-2,08;0;0;6,62;3,71;194,15;90,6;0,43;0,37;0,06;-0,37;73,74;66,9;9,33;UpadloϾ
28,16;17,14;8,57;-0,03;-0,2;-0,4;-0,11;0,18;32,79;72,62;222,16;1,17;2,09;1,78;0,03;0,52;0,52;95,48;50;UpadloϾ
5,32;8,05;5,78;-0,02;-0,21;-0,75;-0,38;-0,25;0;218,38;552,3;63,81;2,64;2,64;0;0,23;68,85;21,48;28,2;UpadloϾ
2,16;104,97;10,76;-0,24;-0,23;-0,26;-11,11;-0,04;1,77;63,86;17737,99;18,59;0,09;0,09;0;-0,09;0,1;100;89,75;UpadloϾ
0,01;0,76;0,86;0;-0,23;1,72;0;0;0;0;27740;0;0,03;0,03;0;-0,12;100,51;11,26;-13,16;UpadloϾ
0,23;17,32;0,72;-0,04;-0,24;-0,25;-17,39;-0,23;13,74;8,25;27486,09;444,35;0,13;0,12;0;-0,04;1,54;100;95,84;UpadloϾ
3,65;1,51;1,12;0;-0,31;-1,21;0;0;2,9;78,2;151;21;0,96;0,93;0,05;-0,03;26,32;82,38;25,83;UpadloϾ
0,08;3,12;3,52;-0,01;-0,31;2,43;-12,5;-0,32;0;103,92;14235;0;0,49;0,49;0;-0,01;103,39;1,78;-12,82;UpadloϾ
0,4;1,52;1,27;-0,01;-0,33;-1,98;-2,5;-0,66;570,75;264,78;1387;45,63;1,2;0,56;0;0,13;22,22;77,29;16,45;UpadloϾ
0,21;5,12;3,49;-0,02;-0,36;-1,12;-9,52;-0,39;7616,69;0;8899,05;139,05;4,74;0,35;0;0,76;48,08;28,62;31,84;UpadloϾ
0,55;0,59;0,59;0;-0,53;-167,09;0;0;95,3;0;391,55;0;0,89;0,65;0,61;-0,1;0;100;0;UpadloϾ
0,41;3,35;2,32;-0,02;-0,61;-1,98;-4,88;0;1951,63;339,39;2982,32;0;1,65;0,35;0;0,34;18,12;72,51;30,75;UpadloϾ
0,01;2,14;2,37;-0,01;-0,67;6,22;-100;-0,47;56754,73;21206,87;78110;13140;1,01;0,28;0;0,01;27,81;89,52;-10,75;UpadloϾ
1,66;0,56;0,52;-0,01;-1,15;-14,85;-0,6;0;0;26,15;123,13;15,39;0,7;0,7;0,16;-0,27;11,22;91,08;7,14;UpadloϾ
0,29;0,51;0,45;-0,01;-1,16;-11,06;-3,45;-1,96;5,84;76,58;641,9;113,28;0,22;0,21;0,01;-0,73;16,47;100;9,8;UpadloϾ
0,33;0,17;0,12;0;-1,27;-3,98;0;0;0;1,88;188,03;0;1,42;1,42;0,26;0,29;0;100;29,41;UpadloϾ
0,04;2,54;2,24;-0,03;-1,27;-10,85;-75;-1,18;0;4,64;23177,5;182,5;0;0;0;-0,48;40,25;55,34;11,81;UpadloϾ
0,02;5,67;5,57;-0,08;-1,31;-73,71;-400;-1,41;0;682,95;103477,5;51830;0,08;0,08;0,04;-0,48;94,06;51,08;1,76;UpadloϾ
0,17;9,13;3,49;-0,12;-1,33;-2,15;-70,59;-1,31;0;21,56;19602,65;0;0,63;0,63;0;-0,06;15,76;42,39;61,77;UpadloϾ
0,74;0,3;0,12;0;-1,41;-2,4;0;0;0;97,01;147,97;0;2,3;2,3;0;0,57;0;100;60;UpadloϾ
13,71;6,42;3,23;-0,09;-1,48;-2,97;-0,66;-1,4;0;157,78;170,92;0;1,84;1,84;0,01;0,42;0;100;49,53;UpadloϾ
0,09;16,51;1,96;-0,26;-1,53;-1,74;-288,89;-1,57;957,49;2229,68;66957,22;4380;1,06;0,94;0;0,01;6,26;99,64;88,13;UpadloϾ
3,49;78,46;122,78;-1,34;-1,71;3,03;-38,4;-1,71;50,88;140,32;8205,7;2825,87;0,15;0,14;0;-1,15;55,45;86,57;-56,49;UpadloϾ
0,01;1,46;1,3;-0,03;-2,09;-19,13;-300;-2,05;1891,8;8931,4;53290;0;0,59;0,55;0;-0,38;0;100;10,96;UpadloϾ
0,04;10,66;9,44;-0,23;-2,13;-18,61;-575;-2,16;0;5087,35;97272,5;56940;0,87;0,87;0;-0,12;58,55;100;11,44;UpadloϾ
13,6;81,37;82,94;-1,61;-2,14;111,84;-11,84;-1,98;174,71;169,03;2183,83;635,53;0,3;0,16;0;-0,37;31,58;56,47;-1,92;UpadloϾ
0,73;0,18;0,13;0;-2,25;-8,19;0;0;0;27,48;90;0;1,38;1,38;0,79;0,28;0;100;27,78;UpadloϾ
1,49;0,12;0,34;0;-2,35;1,33;0;0;3,45;20,63;29,4;0;0,35;0,3;0,03;-1,67;0;100;-183,33;UpadloϾ
1,53;1,94;1,56;-0,04;-2,35;-12,05;-2,61;-0,52;53,13;42,07;462,81;50,1;1,61;1,31;0;0,22;54,44;47,07;19,59;UpadloϾ
0,14;9,88;2,51;-0,23;-2,38;-3,19;-164,29;-2,33;0;95,31;25758,57;0;0,05;0,05;0,03;-0,24;0;100;74,6;UpadloϾ
0,01;1,25;2,23;-0,03;-2,48;3,17;-300;-2,4;0;31,94;45625;53290;0;0;0;-1,64;126,09;100;-78,4;UpadloϾ
9,49;7,06;8,12;-0,16;-2,48;16,46;-1,69;-2,27;3,37;46,41;271,54;23,46;0,28;0,27;0,01;-0,52;9,32;68,71;-15,01;UpadloϾ
42,98;227,09;217,61;-6,19;-2,73;-65,28;-14,4;-2,36;1,35;52,07;1928,52;1465,27;0,05;0,05;0,01;-0,79;79,65;87,14;4,17;UpadloϾ
5,67;6,31;6,76;-0,17;-3;42,29;-3;-1,9;136,12;46,39;406,2;0;0,95;0,33;0,01;-0,02;0;50,16;-7,13;UpadloϾ
2,72;7,74;3,29;-0,22;-3,01;-5,24;-8,09;-2,33;0;61,49;1038,64;34,89;0,33;0,33;0,02;-0,13;7,96;47,06;57,49;UpadloϾ
1,18;0,32;0,28;-0,01;-3,31;-23,27;-0,85;-3,13;0;20,43;98,98;6,19;1,18;1,18;0,09;0,03;17,69;27,42;15,63;UpadloϾ
2,79;42,05;45,64;-1,42;-3,39;39,57;-50,9;-3,38;1,65;15,95;5501,16;0;0,19;0,18;0,02;-0,02;106,15;2,22;-8,56;UpadloϾ
3,79;0,86;0,7;-0,03;-3,45;-19,04;-0,79;-3,49;30,51;24,3;82,82;31,78;0,97;0,52;0,02;-0,02;41,25;100;18,6;UpadloϾ
3,43;8,41;5,66;-0,3;-3,52;-10,75;-8,75;-3,57;1,34;39,38;894,94;62,78;0,93;0,93;0;-0,03;14,57;77,12;32,7;UpadloϾ
9,18;1,05;0,79;-0,04;-3,52;-14,01;-0,44;-3,81;10,36;28,15;41,75;23,86;1,42;1,06;0,07;0,31;57,92;94,21;24,76;UpadloϾ
0,77;1,46;1,12;-0,05;-3,53;-15,09;-6,49;-3,42;25,68;30,45;692,08;33,18;0,86;0,77;0,39;-0,05;41,88;52,41;23,29;UpadloϾ
0,28;4,57;4,55;-0,18;-3,98;-889,54;-64,29;-3,94;0;6,55;5957,32;0;3,31;3,31;3,07;0,01;47,35;0,51;0,44;UpadloϾ
0,57;9,54;10,41;-0,36;-4,07;44,92;-63,16;-3,77;1,22;7,94;6108,95;1792,98;0,13;0,13;0;-0,26;41,92;29,94;-9,01;UpadloϾ
0,52;0,27;0,24;-0,01;-4,08;-43,21;-1,92;-3,7;24,3;68,89;189,52;7,02;0,6;0,46;0;-0,37;2,19;100;11,11;UpadloϾ
2,02;0,92;0,85;-0,04;-4,37;-51,81;-1,98;-4,35;14,46;26,13;166,24;16,26;1,06;0,93;0,07;0,04;34,35;72,16;8,7;UpadloϾ
0,49;14,32;43,74;-0,64;-4,5;2,19;-130,61;-4,47;3240,62;2711,54;10666,94;6242,24;0,27;0,17;0,04;-2,22;58,49;100;-205,45;UpadloϾ
0,75;0,21;0,45;-0,01;-4,52;4,18;-1,33;4,76;0,09;25,67;102,2;58,4;0,31;0,31;0,06;-0,81;51,7;53,35;-109,52;UpadloϾ
1,4;0,63;0,19;-0,03;-4,61;-6,54;-2,14;-4,76;51,94;53,05;164,25;15,64;3,59;2,38;0,01;0,71;13,22;87,89;69,84;UpadloϾ
0,45;0,85;0,77;-0,04;-4,65;-51,5;-8,89;-4,71;57,64;198,15;689,44;0;0,59;0,5;0,17;-0,34;0;100;9,41;UpadloϾ
0,18;1,29;2,17;-0,06;-4,69;6,87;-33,33;-4,65;1,57;12,29;2615,83;101,39;0,01;0,01;0;-0,49;88,35;28,15;-68,22;UpadloϾ
0,52;2,68;2,68;-0,12;-4,77;-4450;-23,08;-4,48;6,21;41,2;1881,15;350,96;0,28;0,27;0,04;-0,19;90,95;29,06;0;UpadloϾ
0,64;7,94;8,95;-0,39;-4,77;37,4;-60,94;-4,91;67,92;309,73;4528,28;250,94;0,47;0,44;0;-0,27;10,67;43,69;-12,72;UpadloϾ
2,05;1,76;1,37;-0,09;-4,89;-21,82;-4,39;-5,11;4,79;197,3;313,37;96,15;1,3;1,28;0,04;0,23;32,44;97,56;22,73;UpadloϾ
9,75;28,65;17,48;-1,41;-4,92;-12,62;-14,46;-4,92;17,05;3,97;1072,54;7,11;0,95;0,27;0,03;0;0,67;3,83;38,99;UpadloϾ
2,53;6,06;7,42;-0,3;-4,97;22,08;-11,86;-4,95;81,39;474,03;874,27;0;0,84;0,71;0,01;-0,13;45,6;62,77;-22,44;UpadloϾ
0,05;0,64;0,85;-0,03;-5,02;15,84;-60;-4,69;0;229,86;4672;0;0,16;0,16;0,05;-0,42;85,56;35,55;-31,25;UpadloϾ
0,68;6,85;27,33;-0,37;-5,2;1,74;-54,41;-5,4;2970,89;485,34;3676,84;0;0,45;0,09;0,01;-1,24;0;54,93;-298,98;UpadloϾ
